xx,SITE,OBS_YEAR,REGION,ISLAND,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,SITEVISITID,EXCLUDE_FLAG,METHOD,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012
1128,KAU-0195,2010,MHI,Kauai,10/31/10,Forereef,Deep,22.0829854,-159.2933327,3326,0,nSPC,KAU_MS_EAST,39357,1020298,RANDOM,2011.1,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1129,KAU-0206,2010,MHI,Kauai,10/31/10,Forereef,Mid,22.1080234,-159.2945837,3321,0,nSPC,KAU_MS_EAST,39630,1020298,RANDOM,2011.1,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1130,KAU-0207,2010,MHI,Kauai,10/31/10,Forereef,Shallow,22.03879843,-159.3308064,3324,0,nSPC,KAU_MS_EAST,38224,1020298,RANDOM,2011.1,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1131,KAU-0216,2010,MHI,Kauai,10/31/10,Forereef,Mid,22.03984609,-159.3162246,3327,0,nSPC,KAU_MS_EAST,36695,1020298,RANDOM,2011.1,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1132,KAU-0217,2013,MHI,Kauai,8/17/13,Forereef,Deep,21.88800003,-159.5721324,6171,0,nSPC,KAU_MS_EAST,23746,972633,RANDOM,2013,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1133,KAU-0223,2013,MHI,Kauai,8/17/13,Forereef,Deep,21.86980627,-159.5118714,6161,0,nSPC,KAU_MS_EAST,29938,1016051,RANDOM,2013,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1134,KAU-0226,2013,MHI,Kauai,8/17/13,Forereef,Deep,21.88106644,-159.4998247,6170,0,nSPC,KAU_MS_EAST,33655,1018696,RANDOM,2013,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1135,KAU-0227,2013,MHI,Kauai,8/13/13,Forereef,Deep,21.91129737,-159.3799259,6081,0,nSPC,KAU_MS_EAST,36179,1020298,RANDOM,2013,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1136,KAU-0228,2013,MHI,Kauai,8/13/13,Forereef,Deep,22.08073905,-159.2958814,6076,0,nSPC,KAU_MS_EAST,39360,1020298,RANDOM,2013,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1137,KAU-0231,2013,MHI,Kauai,8/13/13,Forereef,Deep,21.99784596,-159.3287875,6084,0,nSPC,KAU_MS_EAST,41654,1020298,RANDOM,2013,ForereefDeep,KAU_MS_EAST,NA,NA,NA,NA
1138,KAU-0246,2013,MHI,Kauai,8/13/13,Forereef,Mid,21.96228272,-159.3277717,6085,0,nSPC,KAU_MS_EAST,41717,1020298,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1139,KAU-0248,2013,MHI,Kauai,8/13/13,Forereef,Mid,22.04769499,-159.3101831,6077,0,nSPC,KAU_MS_EAST,37007,1020298,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1140,KAU-0251,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.95108014,-159.6792072,6173,0,nSPC,KAU_MS_EAST,19020,622585,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1141,KAU-0252,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.88916084,-159.5674538,6162,0,nSPC,KAU_MS_EAST,25064,975749,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1142,KAU-0253,2013,MHI,Kauai,8/13/13,Forereef,Mid,22.14425225,-159.2887518,6075,0,nSPC,KAU_MS_EAST,31006,1020298,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1143,KAU-0262,2013,MHI,Kauai,8/13/13,Forereef,Mid,21.95562531,-159.3308719,6079,0,nSPC,KAU_MS_EAST,41899,1020298,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1144,KAU-0263,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.91212667,-159.6521731,6172,0,nSPC,KAU_MS_EAST,22447,760319,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1145,KAU-0266,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.88104297,-159.490995,6160,0,nSPC,KAU_MS_EAST,33150,1020090,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1146,KAU-0267,2013,MHI,Kauai,8/17/13,Forereef,Shallow,21.87836646,-159.4719202,6168,0,nSPC,KAU_MS_EAST,32206,1020298,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1147,KAU-0271,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.87811475,-159.4768364,6169,0,nSPC,KAU_MS_EAST,32207,1020298,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1148,KAU-0274,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.9539346,-159.7063525,6166,0,nSPC,KAU_MS_EAST,15656,563931,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1149,KAU-0276,2013,MHI,Kauai,8/13/13,Forereef,Shallow,21.95617072,-159.337461,6086,0,nSPC,KAU_MS_EAST,43601,1020298,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1150,KAU-0281,2013,MHI,Kauai,8/17/13,Forereef,Shallow,21.95538844,-159.7006642,6167,0,nSPC,KAU_MS_EAST,16690,565663,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1151,KAU-0283,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.91751867,-159.6579956,6165,0,nSPC,KAU_MS_EAST,21032,727577,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1152,KAU-0286,2013,MHI,Kauai,8/13/13,Forereef,Mid,21.89740453,-159.3951474,6082,0,nSPC,KAU_MS_EAST,37019,1020298,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1153,KAU-0291,2013,MHI,Kauai,8/17/13,Forereef,Mid,21.95186905,-159.7025979,6174,0,nSPC,KAU_MS_EAST,16552,565413,RANDOM,2013,ForereefMid,KAU_MS_EAST,NA,NA,NA,NA
1154,KAU-0292,2013,MHI,Kauai,8/17/13,Forereef,Shallow,21.892898,-159.6083982,6163,0,nSPC,KAU_MS_EAST,23306,920324,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1155,KAU-0294,2013,MHI,Kauai,8/13/13,Forereef,Shallow,21.93601426,-159.3526562,6080,0,nSPC,KAU_MS_EAST,44736,1020298,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1156,KAU-0297,2013,MHI,Kauai,8/17/13,Forereef,Shallow,21.89967737,-159.6113573,6164,0,nSPC,KAU_MS_EAST,23388,903969,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1157,KAU-0298,2013,MHI,Kauai,8/13/13,Forereef,Shallow,21.99459395,-159.3363855,6078,0,nSPC,KAU_MS_EAST,42665,1020298,RANDOM,2013,ForereefShallow,KAU_MS_EAST,NA,NA,NA,NA
1158,KAU-0320,2013,MHI,Kauai,8/15/13,Forereef,Deep,22.10335753,-159.7602721,6128,0,nSPC,KAU_LS_NAPALI,5589,394836,RANDOM,2013,ForereefDeep,KAU_LS_NAPALI,NA,NA,NA,NA
1159,KAU-0330,2013,MHI,Kauai,8/15/13,Forereef,Deep,22.14169904,-159.7662223,6113,0,nSPC,KAU_LS_NAPALI,2278,337766,RANDOM,2013,ForereefDeep,KAU_LS_NAPALI,NA,NA,NA,NA
1160,KAU-0333,2013,MHI,Kauai,8/15/13,Forereef,Deep,22.08782444,-159.77669,6115,0,nSPC,KAU_LS_NAPALI,5585,382039,RANDOM,2013,ForereefDeep,KAU_LS_NAPALI,NA,NA,NA,NA
1161,KAU-0341,2013,MHI,Kauai,8/15/13,Forereef,Deep,22.16818887,-159.7229065,6123,0,nSPC,KAU_LS_NAPALI,967,407104,RANDOM,2013,ForereefDeep,KAU_LS_NAPALI,NA,NA,NA,NA
1162,KAU-0346,2013,MHI,Kauai,8/15/13,Forereef,Shallow,22.16368829,-159.697471,6112,0,nSPC,KAU_LS_NAPALI,1016,457576,RANDOM,2013,ForereefShallow,KAU_LS_NAPALI,NA,NA,NA,NA
1163,KAU-0347,2013,MHI,Kauai,8/15/13,Forereef,Mid,22.12305802,-159.7364741,6127,0,nSPC,KAU_LS_NAPALI,5505,430829,RANDOM,2013,ForereefMid,KAU_LS_NAPALI,NA,NA,NA,NA
1164,KAU-0348,2013,MHI,Kauai,8/15/13,Forereef,Shallow,22.15610895,-159.7109315,6125,0,nSPC,KAU_LS_NAPALI,1052,447448,RANDOM,2013,ForereefShallow,KAU_LS_NAPALI,NA,NA,NA,NA
1165,KAU-0352,2013,MHI,Kauai,8/15/13,Forereef,Shallow,22.11829995,-159.7385471,6114,0,nSPC,KAU_LS_NAPALI,5612,431431,RANDOM,2013,ForereefShallow,KAU_LS_NAPALI,NA,NA,NA,NA
1166,KAU-0357,2013,MHI,Kauai,8/15/13,Forereef,Mid,22.16778226,-159.6868105,6124,0,nSPC,KAU_LS_NAPALI,1207,470577,RANDOM,2013,ForereefMid,KAU_LS_NAPALI,NA,NA,NA,NA
1167,KAU-0361,2013,MHI,Kauai,8/15/13,Forereef,Mid,22.15460666,-159.7222055,6126,0,nSPC,KAU_LS_NAPALI,1466,426948,RANDOM,2013,ForereefMid,KAU_LS_NAPALI,NA,NA,NA,NA
1168,KAU-0363,2013,MHI,Kauai,8/15/13,Forereef,Mid,22.16838886,-159.7005375,6111,0,nSPC,KAU_LS_NAPALI,892,452421,RANDOM,2013,ForereefMid,KAU_LS_NAPALI,NA,NA,NA,NA
1169,KIN-0003,2008,PRIAs,Kingman,4/7/08,Lagoon,Mid,6.39025,-162.3604,1434,0,nSPC,Kingman,0,0,HAPHAZARD,2008,LagoonMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1170,KIN-0005,2008,PRIAs,Kingman,4/6/08,Backreef,Mid,6.3947,-162.3463,1428,0,nSPC,Kingman,0,0,HAPHAZARD,2008,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1171,KIN-0007,2008,PRIAs,Kingman,4/6/08,Lagoon,Mid,6.40215,-162.38545,1429,0,nSPC,Kingman,0,0,HAPHAZARD,2008,LagoonMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1172,KIN-0008,2008,PRIAs,Kingman,4/5/08,Backreef,Mid,6.42913,-162.38255,1422,0,nSPC,Kingman,0,0,HAPHAZARD,2008,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1173,KIN-0010,2008,PRIAs,Kingman,4/5/08,Lagoon,Mid,6.42038,-162.37942,1423,0,nSPC,Kingman,0,0,HAPHAZARD,2008,LagoonMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1174,KIN-0011,2008,PRIAs,Kingman,4/6/08,Forereef,Mid,6.38198,-162.3462,1430,0,nSPC,Kingman,0,0,HAPHAZARD,2008,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1175,KIN-0012,2008,PRIAs,Kingman,4/4/08,Backreef,Mid,6.38582,-162.37753,1416,0,nSPC,Kingman,0,0,HAPHAZARD,2008,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1176,KIN-0013,2008,PRIAs,Kingman,4/5/08,Forereef,Mid,6.38223,-162.3843,1424,0,nSPC,Kingman,0,0,HAPHAZARD,2008,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1177,KIN-0014,2008,PRIAs,Kingman,4/4/08,Backreef,Mid,6.43483,-162.39022,1417,0,nSPC,Kingman,0,0,HAPHAZARD,2008,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1178,KIN-0016,2008,PRIAs,Kingman,4/7/08,Backreef,Mid,6.3924,-162.3421,1435,0,nSPC,Kingman,0,0,HAPHAZARD,2008,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1179,KIN-0023,2008,PRIAs,Kingman,4/4/08,Forereef,Mid,6.38232,-162.3413,1418,0,nSPC,Kingman,0,0,RANDOM,2008,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1180,KIN-0050,2008,PRIAs,Kingman,4/4/08,Backreef,Deep,6.435531,-162.392148,1419,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1181,KIN-0051,2008,PRIAs,Kingman,4/4/08,Backreef,Shallow,6.422691,-162.37291,1420,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1182,KIN-0052,2008,PRIAs,Kingman,4/4/08,Forereef,Deep,6.380208,-162.372367,1421,0,nSPC,Kingman,0,0,RANDOM,2008,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1183,KIN-0053,2008,PRIAs,Kingman,4/5/08,Backreef,Deep,6.415154,-162.363823,1425,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1184,KIN-0054,2008,PRIAs,Kingman,4/5/08,Backreef,Shallow,6.38658,-162.391126,1426,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1185,KIN-0055,2008,PRIAs,Kingman,4/5/08,Forereef,Shallow,6.381146,-162.412328,1427,0,nSPC,Kingman,0,0,RANDOM,2008,ForereefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1186,KIN-0056,2008,PRIAs,Kingman,4/6/08,Forereef,Deep,6.379235,-162.415634,1431,0,nSPC,Kingman,0,0,RANDOM,2008,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1187,KIN-0057,2008,PRIAs,Kingman,4/6/08,Backreef,Deep,6.3849,-162.409776,1432,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1188,KIN-0058,2008,PRIAs,Kingman,4/6/08,Backreef,Shallow,6.406513,-162.354436,1433,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1189,KIN-0059,2008,PRIAs,Kingman,4/7/08,Backreef,Deep,6.391635,-162.348867,1436,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1190,KIN-0060,2008,PRIAs,Kingman,4/7/08,Backreef,Shallow,6.386177,-162.379696,1437,0,nSPC,Kingman,0,0,RANDOM,2008,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1191,KIN-0061,2008,PRIAs,Kingman,4/7/08,Forereef,Shallow,6.38183,-162.351975,1438,0,nSPC,Kingman,0,0,RANDOM,2008,ForereefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1192,KIN-0101,2010,PRIAs,Kingman,4/15/10,Backreef,Shallow,6.38373,-162.35873,2587,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1193,KIN-0102,2010,PRIAs,Kingman,4/17/10,Backreef,Shallow,6.39142,-162.3416,2608,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1194,KIN-0103,2010,PRIAs,Kingman,4/14/10,Backreef,Shallow,6.38197,-162.40796,2577,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1195,KIN-0105,2010,PRIAs,Kingman,4/14/10,Forereef,Shallow,6.38318,-162.38959,2579,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1196,KIN-0106,2010,PRIAs,Kingman,4/15/10,Forereef,Shallow,6.38397,-162.33789,2591,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1197,KIN-0108,2010,PRIAs,Kingman,4/15/10,Forereef,Shallow,6.38016,-162.36211,2585,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefShallow,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1198,KIN-0113,2010,PRIAs,Kingman,4/18/10,Backreef,Deep,6.3856,-162.37407,2620,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1199,KIN-0116,2010,PRIAs,Kingman,4/17/10,Backreef,Deep,6.39561,-162.34764,2607,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1200,KIN-0118,2010,PRIAs,Kingman,4/15/10,Forereef,Deep,6.38279,-162.33809,2589,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1201,KIN-0120,2010,PRIAs,Kingman,4/14/10,Forereef,Deep,6.3785,-162.42554,2575,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1202,KIN-0121,2010,PRIAs,Kingman,4/16/10,Forereef,Deep,6.43841,-162.38614,2602,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1203,KIN-0122,2010,PRIAs,Kingman,4/15/10,Forereef,Deep,6.38208,-162.38139,2584,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1204,KIN-0123,2010,PRIAs,Kingman,4/19/10,Forereef,Deep,6.40797,-162.4597,2624,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1205,KIN-0124,2010,PRIAs,Kingman,4/19/10,Forereef,Deep,6.39143,-162.4792,2626,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1206,KIN-0126,2010,PRIAs,Kingman,4/19/10,Forereef,Deep,6.41557,-162.44586,2623,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1207,KIN-0127,2010,PRIAs,Kingman,4/19/10,Forereef,Deep,6.38003,-162.457,2625,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1208,KIN-0128,2010,PRIAs,Kingman,4/16/10,Forereef,Deep,6.43333,-162.42722,2597,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1209,KIN-0129,2010,PRIAs,Kingman,4/16/10,Forereef,Deep,6.41017,-162.42186,2596,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1210,KIN-0132,2010,PRIAs,Kingman,4/18/10,Lagoon,Mid,6.40269,-162.38457,2618,0,nSPC,Kingman,0,0,RANDOM,2010,LagoonMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1211,KIN-0133,2010,PRIAs,Kingman,4/16/10,Forereef,Deep,6.41299,-162.40073,2603,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1212,KIN-0134,2010,PRIAs,Kingman,4/17/10,Lagoon,Deep,6.40656,-162.37888,2606,0,nSPC,Kingman,0,0,RANDOM,2010,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1213,KIN-0135,2010,PRIAs,Kingman,4/18/10,Lagoon,Deep,6.40609,-162.40205,2616,0,nSPC,Kingman,0,0,RANDOM,2010,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1214,KIN-0136,2010,PRIAs,Kingman,4/18/10,Lagoon,Deep,6.39966,-162.39792,2617,0,nSPC,Kingman,0,0,RANDOM,2010,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1215,KIN-0137,2010,PRIAs,Kingman,4/18/10,Lagoon,Deep,6.39589,-162.39058,2619,0,nSPC,Kingman,0,0,RANDOM,2010,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1216,KIN-0139,2010,PRIAs,Kingman,4/17/10,Backreef,Mid,6.39069,-162.34775,2614,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1217,KIN-0140,2010,PRIAs,Kingman,4/16/10,Backreef,Mid,6.41082,-162.35858,2605,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1218,KIN-0142,2010,PRIAs,Kingman,4/16/10,Backreef,Mid,6.42795,-162.38017,2604,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1219,KIN-0145,2010,PRIAs,Kingman,4/15/10,Forereef,Mid,6.38796,-162.33409,2590,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1220,KIN-0146,2010,PRIAs,Kingman,4/15/10,Forereef,Mid,6.38214,-162.34192,2588,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1221,KIN-0147,2010,PRIAs,Kingman,4/14/10,Forereef,Mid,6.38244,-162.38927,2578,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1222,KIN-0148,2010,PRIAs,Kingman,4/14/10,Forereef,Mid,6.37824,-162.4205,2576,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1223,KIN-0149,2010,PRIAs,Kingman,4/15/10,Backreef,Mid,6.38977,-162.36073,2586,0,nSPC,Kingman,0,0,RANDOM,2010,BackreefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1224,KIN-0159,2010,PRIAs,Kingman,4/16/10,Forereef,Mid,6.43303,-162.42203,2598,0,nSPC,Kingman,0,0,RANDOM,2010,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1225,KIN-0165,2012,PRIAs,Kingman,5/12/12,Lagoon,Deep,6.38409524,-162.4349724,4955,0,nSPC,Kingman,0,0,RANDOM,2012,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1226,KIN-0170,2012,PRIAs,Kingman,5/13/12,Lagoon,Deep,6.39321274,-162.394934,4962,0,nSPC,Kingman,0,0,RANDOM,2012,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1227,KIN-0171,2012,PRIAs,Kingman,5/11/12,Lagoon,Deep,6.40933608,-162.3944915,4934,0,nSPC,Kingman,0,0,RANDOM,2012,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1228,KIN-0173,2012,PRIAs,Kingman,5/11/12,Lagoon,Deep,6.41883647,-162.3972626,4928,0,nSPC,Kingman,0,0,RANDOM,2012,LagoonDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1229,KIN-0175,2012,PRIAs,Kingman,5/12/12,Lagoon,Mid,6.38767523,-162.4247173,4956,0,nSPC,Kingman,0,0,RANDOM,2012,LagoonMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1230,KIN-0179,2012,PRIAs,Kingman,5/13/12,Lagoon,Mid,6.38939151,-162.4429853,4967,0,nSPC,Kingman,0,0,RANDOM,2012,LagoonMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1231,KIN-0182,2012,PRIAs,Kingman,5/9/12,Forereef,Deep,6.45353176,-162.4071258,4901,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1232,KIN-0183,2012,PRIAs,Kingman,5/10/12,Forereef,Deep,6.38672766,-162.4789745,4920,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1233,KIN-0185,2012,PRIAs,Kingman,5/10/12,Forereef,Deep,6.41502589,-162.447873,4918,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1234,KIN-0186,2012,PRIAs,Kingman,5/10/12,Forereef,Deep,6.37827258,-162.4225337,4910,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1235,KIN-0187,2012,PRIAs,Kingman,5/9/12,Forereef,Deep,6.37936323,-162.3677826,4892,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1236,KIN-0188,2012,PRIAs,Kingman,5/13/12,Forereef,Deep,6.42032945,-162.3592491,4964,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1237,KIN-0189,2012,PRIAs,Kingman,5/13/12,Forereef,Deep,6.37946541,-162.3641964,4961,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1238,KIN-0190,2012,PRIAs,Kingman,5/9/12,Forereef,Deep,6.42069951,-162.3598837,4898,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefDeep,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1239,KIN-0191,2012,PRIAs,Kingman,5/10/12,Forereef,Mid,6.44049908,-162.4197944,4917,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1240,KIN-0193,2012,PRIAs,Kingman,5/9/12,Forereef,Mid,6.38289428,-162.4387349,4896,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1241,KIN-0195,2012,PRIAs,Kingman,5/10/12,Forereef,Mid,6.45007473,-162.4107235,4916,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
1242,KIN-0196,2012,PRIAs,Kingman,5/10/12,Forereef,Mid,6.38750273,-162.4627996,4915,0,nSPC,Kingman,0,0,RANDOM,2012,ForereefMid,Kingman,Kingman Reef National Wildlife Refuge,2001,Pristine,NA
